UF,Ano,Casos Notif,Curados,Óbitos,Outros Fins,População,Popul 0 à 4,Vacinas,Internações,Permanência,Gastos,Região
Roraima,2017,205,144,5,56,522636,49630,13196,78,879,21913.71,Norte
Pará,2017,4511,3132,83,1296,8366628,751214,128232,429,5428,426994.0,Norte
Amapá,2017,298,240,4,54,797722,77056,16222,18,223,2045.4,Norte
Tocantins,2017,187,134,6,47,1550194,127485,27711,54,553,62989.05,Norte
Maranhão,2017,2469,1731,76,662,7000229,646128,129208,276,3040,227002.34,Nordeste
Piauí,2017,791,580,31,180,3218485,238949,47546,115,1614,232095.45,Nordeste
Ceará,2017,4289,2852,151,1286,9021232,670786,147779,593,8134,768256.29,Nordeste
Rio Grande do Norte,2017,1354,844,62,448,3507003,252960,32849,299,6092,581085.5,Nordeste
Paraíba,2017,1360,768,41,551,4025558,300286,61080,319,9506,820533.05,Nordeste
Pernambuco,2017,6378,3948,404,2026,9473707,697854,144489,1383,17927,3412345.54,Nordeste
Alagoas,2017,1264,723,65,476,3375382,277968,58327,240,2999,414311.21,Nordeste
Sergipe,2017,832,564,20,248,2288116,172499,34833,95,969,61075.48,Nordeste
Bahia,2017,5498,3557,220,1721,15344447,1114626,183520,1396,22492,2433798.45,Nordeste
Minas Gerais,2017,4064,2826,170,1068,21119536,1334539,256548,1138,17366,2328249.91,Sudeste
Espírito Santo,2017,1324,979,59,286,4016356,265458,52825,151,1711,315281.59,Sudeste
Rio de Janeiro,2017,13927,8904,471,4552,16718956,1007396,272052,1269,34389,2777471.34,Sudeste
São Paulo,2017,22119,17085,755,4279,45094866,2809738,637609,3448,92080,8958054.92,Sudeste
Paraná,2017,2501,1759,86,656,11320892,729485,157290,437,15737,1974087.86,Sul
Santa Catarina,2017,2228,1488,64,676,7001161,438051,81672,581,8920,951753.07,Sul
Rio Grande do Sul,2017,6599,3861,229,2509,11322895,663013,132614,1181,25999,2642753.77,Sul
Mato Grosso do Sul,2017,1140,698,52,390,2713147,202359,54549,187,2934,416128.87,Centro-Oeste
Mato Grosso,2017,1430,961,51,418,3344544,252844,56774,135,1302,137953.96,Centro-Oeste
Goiás,2017,1163,748,39,376,6778772,454001,90262,236,2338,360960.5,Centro-Oeste
Distrito Federal,2017,413,224,6,183,3039444,211170,42726,180,2619,86511.6,Centro-Oeste
Rondônia,2018,678,490,5,183,1823741,135197,25729,198,2866,92641.11,Norte
Acre,2018,483,438,6,39,842290,83368,16223,77,753,66599.2,Norte
Amazonas,2018,3803,2567,145,1091,4124033,389272,75455,216,2034,138335.57,Norte
Roraima,2018,265,189,8,68,530879,49079,15377,63,951,55527.37,Norte
Pará,2018,4678,3301,86,1291,8457229,739766,124966,407,4717,366610.76,Norte
Amapá,2018,284,206,3,75,812961,76379,17129,29,335,3511.28,Norte
Tocantins,2018,233,158,9,66,1567016,125747,26090,61,597,56635.77,Norte
Maranhão,2018,2647,1892,112,643,7043339,631676,120993,300,3424,250816.91,Nordeste
Piauí,2018,884,600,33,251,3224536,233828,48552,165,2189,271026.2,Nordeste
Ceará,2018,4555,2925,151,1479,9075744,661640,137885,656,8574,728010.36,Nordeste
Rio Grande do Norte,2018,1624,1028,83,513,3538218,250143,49396,390,8172,881346.08,Nordeste
Paraíba,2018,1542,856,56,630,4050662,295318,60525,340,11194,1013891.18,Nordeste
Pernambuco,2018,6491,3893,352,2246,9534634,687786,143723,1368,18611,4058827.4,Nordeste
Alagoas,2018,1340,764,77,499,3391142,272540,55581,267,3036,383413.02,Nordeste
Sergipe,2018,978,660,25,293,2309961,170864,35970,100,978,99273.93,Nordeste
Bahia,2018,5667,3519,183,1965,15408073,1095952,173301,1137,18049,1765824.03,Nordeste
Minas Gerais,2018,4224,2964,164,1096,21235870,1317056,260091,1289,19742,2702820.55,Sudeste
Espírito Santo,2018,1484,1048,57,379,4058079,263084,54293,175,1533,238567.69,Sudeste
Rio de Janeiro,2018,14819,9272,475,5072,16798421,997589,233416,1494,41054,3608626.03,Sudeste
São Paulo,2018,22258,16982,746,4530,45429330,2779776,612969,3551,94316,9020105.15,Sudeste
Paraná,2018,2860,1991,112,757,11396262,720682,153453,408,11913,1530427.37,Sul
Santa Catarina,2018,2282,1479,63,740,7090682,437451,89086,698,10179,1124639.53,Sul
Rio Grande do Sul,2018,6908,3849,272,2787,11356804,655263,129790,1167,24360,2506545.99,Sul
Mato Grosso do Sul,2018,1455,1001,39,415,2743142,200173,55337,176,2176,269895.46,Centro-Oeste
Mato Grosso,2018,1414,953,38,423,3382487,249971,58799,145,1407,154029.44,Centro-Oeste
Goiás,2018,1212,769,42,401,6860047,451005,91706,317,2604,489669.42,Centro-Oeste
Distrito Federal,2018,471,256,15,200,3101220,212361,39243,204,2937,235052.7,Centro-Oeste
Rondônia,2019,740,503,4,233,1841142,133580,24835,180,2236,59881.24,Norte
Acre,2019,582,503,8,71,854691,82425,15925,67,673,55117.73,Norte
Amazonas,2019,3955,2680,143,1132,4182899,384132,73531,223,2318,178595.55,Norte
Roraima,2019,324,218,16,90,538963,48514,13719,138,1898,71274.57,Norte
Pará,2019,5542,3515,124,1903,8544639,728275,117825,454,5307,463449.11,Norte
Amapá,2019,357,240,6,111,828028,75718,16687,31,264,6685.83,Norte
Tocantins,2019,234,156,6,72,1583391,124085,29164,68,653,63362.48,Norte
